,Code,Occupation,R,he,it,she,everyone,company,team,city,everybody,customer,office,everything,bank,hr,project,development,crew,distribution,village,farm,building,construction,school,restaurant,cemetery,casino,hotel,hospital,property,community,america,agriculture,shop,market,factory,plant,worker,training,london,china,house,budget,computer,system,software,site,website,database,network,chicago,earth,town,ship,marine,mine,miner,oil,food,water,nature,patient,planet,area,farmer,baby,prison,church,religion,college,library,teacher,film,movie,coach,camera,station,dog,nurse,lab,one,fire,fish,transit,animal,airport,body,gym,customers,product,cage,court,generator,shipping,machine,hunter,forest,logging,boiler,coal,mason,concrete,insulation,power,mining,equipment,car,vehicle,engine,plane,pilot,valve,machinery,mobile,aircraft,metal,baker,meat,kitchen,drilling,spring,furnace,laundry,leather,furniture,wood,money,bathroom,paper,production,truck,taxi,locomotive,train,railroad,boat,bridge,crane,pump,afghanistan,soldier,vietnam,business,garden,world,land,store,japan,germany,surgery,man,work,shuttle
10,136,Human resources managers,HR Manager,0.6396501660346985,0.03384300693869591,0.0992732122540474,,,,,,,0.03412088751792908,,,0.010424296371638775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,137,Training and development managers,Development Manager,0.10621783137321472,0.39182770252227783,0.028291963040828705,,,,,,,,,,,0.01823531836271286,0.01169527042657137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,140,Industrial production managers,Production Manager,0.32407402992248535,0.17945529520511627,0.10503865033388138,0.011748073622584343,,,,,,,,,,,,0.011330010369420052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,150,Purchasing managers,Procurement Manager,0.3457943797111511,0.23751145601272583,0.07987300306558609,0.014064151793718338,,,,,,0.00751797528937459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,160,"Transportation, storage, and distribution managers",Distribution Manager,0.21145805716514587,0.3916851878166199,0.04548411816358566,0.007851844653487206,,,,,,,,,,,,,0.012215322814881802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,205,"Farmers, ranchers, and other agricultural managers",Agricultural Manager,0.312542200088501,0.22074387967586517,0.02206825092434883,,,,,,,,,,,,,,,0.03339318186044693,0.027268825098872185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,220,Construction managers,Construction Supervisor,0.31930071115493774,0.3011622726917267,0.059678204357624054,,,,,,,,,,,,,,,,,0.0645238608121872,0.02882670983672142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,230,Education and childcare administrators,Education Administrator,0.06768516451120377,0.12100236117839813,0.09729194641113281,0.016538839787244797,,,,,,,,,,,,,,,,,,0.4450479745864868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,300,Architectural and engineering managers,Engineering Manager,0.2211659997701645,0.32031363248825073,0.05595766380429268,0.00854161474853754,,,,,,,,,,,,,,,,0.011454910971224308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,310,Food service managers,Restaurant Manager,0.38408392667770386,0.20239375531673431,0.07065040618181229,0.04023529961705208,,,,,,,,,,,,,,,,,,,0.06666909158229828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,325,Funeral home managers,Funeral Director,0.6354291439056396,0.029547985643148422,0.07538394629955292,0.020816626027226448,,,,,,,,,,,,,,,,,,,,0.01126814354211092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,330,Gaming managers,Casino Manager,0.3597224950790405,0.1089489683508873,0.06102116033434868,0.02784627117216587,,,,,,,,,,,,,,,,,,,,,0.16527369618415833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,340,Lodging managers,Hotel Manager,0.22127628326416016,0.12381453067064285,0.03695498779416084,0.031570203602313995,,,,,,,,,,,,,,,,,,,,,,0.3560178577899933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,350,Medical and health services managers,Healthcare Manager,0.38888585567474365,0.11646810173988342,0.17422796785831451,0.032562628388404846,,,,,,,,,,,,,,,,,,,,,,,0.07615678012371063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,360,Natural sciences managers,Science Manager,0.24425293505191803,0.282638818025589,0.1416974812746048,0.030458472669124603,,,,,,,,,,,,,,,,,,0.015836156904697418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,400,Postmasters and mail superintendents,Mail Superintendent,0.1865445375442505,0.5269421339035034,0.05323969945311546,0.014366324059665203,,,,0.008777273818850517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,410,"Property, real estate, and community association managers",Property Manager,0.26986193656921387,0.36463844776153564,0.10258924216032028,0.013759584166109562,,,,,,,,,,,,,,,,,,,,,,,,0.024767808616161346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,420,Social and community service managers,Community Service Manager,0.06368571519851685,0.30655500292778015,0.05469078570604324,0.04205986112356186,,,,,,,,,,,,,,,,,,,,,,,,,0.04140375554561615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,425,Emergency management directors,Emergency Director,0.48318514227867126,0.07102232426404953,0.1718294620513916,0.04550444707274437,,,,,,,,,,,,,,,,,,,,,,,0.01629067212343216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,430,"Managers, all other",Miscellaneous Manager,0.6804438829421997,0.11141254007816315,0.15102002024650574,0.016491180285811424,,,,0.005669327452778816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,500,"Agents and business managers of artists, performers, and athletes",Artist's Agent,0.4222710132598877,0.07191341370344162,0.22959397733211517,0.008113422431051731,,,,,,,,,,,,,,,,,,,,,,,,,,0.0059911468997597694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,510,"Buyers and purchasing agents, farm products",Agricultural Buyer,0.09069902449846268,0.6466497778892517,0.013362226076424122,0.00780706899240613,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077619063667953014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,520,"Wholesale and retail buyers, except farm products",Retail Buyer,0.052725907415151596,0.5284382700920105,,,,,,,0.01961144246160984,,,,,,,,,,,,,,,,,,,,,,,0.020102418959140778,0.019882680848240852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,530,"Purchasing agents, except wholesale, retail, and farm products",Industrial Purchasing Agent,0.03626251220703125,0.5443284511566162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01962822675704956,0.01873074285686016,0.009705577977001667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,540,"Claims adjusters, appraisers, examiners, and investigators",Claims Adjuster,0.5666597485542297,0.16776809096336365,0.1914132535457611,0.01609126478433609,,,,,,,0.006655005272477865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,565,Compliance officers,Compliance Officer,0.606280505657196,0.019987527281045914,0.28701329231262207,0.011369851417839527,,,,0.002586524933576584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,600,Cost estimators,Cost Analyst,0.10928835719823837,0.39910441637039185,0.0228565726429224,0.013991490006446838,,,,0.006927584297955036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,630,Human resources workers,HR Specialist,0.5407277345657349,0.06580298393964767,0.22006970643997192,0.010209391824901104,,,,,,,,,,,,,,,,,,,,,,,0.010161920450627804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,640,"Compensation, benefits, and job analysis specialists",Benefits Specialist,0.3157435953617096,0.14763644337654114,0.28774893283843994,0.04699559137225151,,,,0.01003559771925211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,650,Training and development specialists,Training Specialist,0.2365928441286087,0.30065596103668213,0.16673330962657928,0.023200931027531624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012476724572479725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,700,Logisticians,Logistics Expert,0.24133217334747314,0.1980079859495163,0.12949056923389435,0.03290213644504547,,,,,,,0.013023842126131058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,710,Management analysts,Management Consultant,0.11027336865663528,0.31951043009757996,0.059595849364995956,0.019351085647940636,,,0.015483968891203403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,725,"Meeting, convention, and event planners",Event Planner,0.18729127943515778,0.09919776022434235,0.2853599488735199,0.13446684181690216,,,,0.018587125465273857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,726,Fundraisers,Fundraising Specialist,0.08478677272796631,0.42782658338546753,0.09032302349805832,0.04349685460329056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01723679155111313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,735,Market research analysts and marketing specialists,Market Analyst,0.04942513257265091,0.4039573073387146,0.011926239356398582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05103044584393501,,,,,,0.011626510880887508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,740,"Business operations specialists, all other",Business Specialist,0.2951085567474365,0.26419198513031006,0.13110733032226562,0.03136907145380974,,,,0.012221619486808777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,800,Accountants and auditors,Accountant,0.2951359748840332,0.30630922317504883,0.2325500100851059,0.03969555348157883,,,,,,,0.015216723084449768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,810,Property appraisers and assessors,Property Assessor,0.41645684838294983,0.26261699199676514,0.07230443507432938,,,,,,,,,,,,,,,,,,,,,,,,,0.04725712537765503,,,,,,,,,,,,0.010241144336760044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,820,Budget analysts,Budget Analyst,0.2532349228858948,0.25392946600914,0.026961497962474823,0.018433310091495514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018751317635178566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,830,Credit analysts,Credit Analyst,0.3935765027999878,0.1476801037788391,0.11538619548082352,0.02001071348786354,,,,,,,,0.025854576379060745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,840,Financial analysts,Financial Advisor,0.4622880220413208,0.11776730418205261,0.08138682693243027,0.021414831280708313,,,,,,,,0.02670331671833992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,850,Personal financial advisors,Insurance Underwriter,0.25461578369140625,0.3233662545681,0.06766024976968765,0.021906759589910507,,,,0.017004789784550667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,860,Insurance underwriters,Financial Examiner,0.07140115648508072,0.46896877884864807,0.01549097802489996,0.02207665517926216,,,,0.01894153654575348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,900,Financial examiners,Loan Officer,0.6869209408760071,0.013030228205025196,0.2400963455438614,0.0043629007413983345,,,,0.0012938743457198143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,910,Credit counselors and loan officers,Tax Collector,0.5311404466629028,0.10197871178388596,0.031747739762067795,0.015514450147747993,,,0.019578391686081886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,930,"Tax examiners and collectors, and revenue agents",Tax Preparer,0.6658768057823181,0.12886667251586914,0.08846408873796463,0.018630672246217728,,,,0.007830800488591194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,940,Tax preparers,Financial Specialist,0.30743539333343506,0.23038630187511444,0.06412189453840256,0.016320936381816864,,,,,,,,0.0406024344265461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,950,"Financial specialists, all other",Computer Scientist,0.37011227011680603,0.14180663228034973,0.12080365419387817,0.016771862283349037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02465355582535267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1005,Computer and information research scientists,Systems Analyst,0.34437882900238037,0.17384611070156097,0.09218819439411163,0.020370688289403915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015506139025092125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1006,Computer systems analysts,Security Analyst,0.5544571280479431,0.08856098353862762,0.1496155709028244,0.023489946499466896,,,,0.00815771333873272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1007,Information security analysts,Programmer,0.31741517782211304,0.314508318901062,0.2232702523469925,0.03477568179368973,,,,,,,0.01118308212608099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
